t	y	g
ns	a.u.	a.u.
0.0424000000000007	48.5	295.5
0.145099999999999	100.5	550.5
0.247799999999998	220.5	921.5
0.350499999999997	302.5	1512.5
0.453200000000002	462.5	2233.5
0.555900000000001	715.5	3449.5
0.6586	883.5	4509.5
0.761299999999999	1182.5	4961.5
0.863999999999997	1486.5	5605.5
0.966700000000003	1684.5	6273.5
1.0694	1837.5	6124.5
1.1721	1909.5	5479.5
1.2748	1974.5	4601.5
1.3775	1934.5	3553.5
1.4802	1977.5	2558.5
1.5829	1838.5	1657.5
1.6856	1830.5	1011.5
1.7883	1595.5	588.5
1.891	1610.5	353.5
1.9937	1450.5	249.5
2.0964	1309.5	182.5
2.1991	1199.5	133.5
2.3018	1034.5	113.5
2.4045	1018.5	120.5
2.5072	845.5	106.5
2.6099	786.5	121.5
2.7126	769.5	112.5
2.8153	666.5	88.5
2.918	633.5	94.5
3.0207	574.5	67.5
3.1234	464.5	98.5
3.2261	467.5	84.5
3.3288	438.5	71.5
3.4315	401.5	71.5
3.5342	359.5	69.5
3.6369	318.5	42.5
3.7396	270.5	39.5
3.8423	234.5	54.5
3.945	224.5	45.5
4.0477	241.5	31.5
4.1504	197.5	28.5
4.2531	155.5	27.5
4.3558	150.5	17.5
4.4585	156.5	17.5
4.5612	117.5	16.5
4.6639	116.5	14.5
4.7666	103.5	9.5
4.8693	106.5	6.5
4.972	92.5	10.5
5.0747	89.5	17.5
5.1774	54.5	4.5
5.2801	80.5	4.5
5.3828	69.5	2.5
5.4855	45.5	1.5
5.5882	35.5	0.5
5.6909	43.5	10.5
5.7936	42.5	-1.5
5.8963	25.5	0.5
5.999	43.5	4.5
6.1017	24.5	6.5
6.2044	32.5	1.5
6.3071	17.5	8.5
6.4098	18.5	2.5
6.5125	24.5	0.5
6.6152	22.5	-0.5
6.7179	10.5	4.5
6.8206	19.5	3.5
6.9233	14.5	-2.5
7.026	9.5	2.5
7.1287	10.5	1.5
7.2314	6.5	3.5
7.3341	11.5	-2.5
7.4368	1.5	2.5
7.5395	5.5	-0.5
7.6422	5.5	4.5
7.7449	1.5	-3.5
7.8476	11.5	-4.5
7.9503	1.5	1.5
8.053	8.5	1.5
8.1557	1.5	2.5
8.2584	11.5	-2.5
8.3611	4.5	0.5
8.4638	6.5	-0.5
8.5665	8.5	-2.5
8.6692	0.5	0.5
8.7719	2.5	-1.5
8.8746	-4.5	2.5
8.9773	1.5	3.5
9.08	4.5	5.5
9.1827	3.5	0.5
